name,distance,vehicle,distance2,vehicle2,duration
c103C15,379.1638702106715,3,512.43648032381,3,840.3973824977875
c106C15,367.4149633823488,3,394.22173735845206,3,439.52348041534424
c202C15,505.5945918549361,3,584.0106168109199,3,1535.4627439975739
c208C15,305.8007058448403,2,495.41686403094934,2,802.5764825344086
r102C15,480.2944152515736,6,499.96465721245056,6,154.51259398460388
r105C15,347.87808813584434,4,360.1062951943062,4,132.29113149642944
r202C15,386.8631379977732,2,555.3643172173392,2,1548.0735538005829
r209C15,344.30835720249763,2,401.96086108412726,2,1466.0867886543274
rc103C15,486.9415704959655,5,588.8121448022546,5,167.9111840724945
rc108C15,440.16030321787076,4,551.493900655029,5,206.20639538764954
rc202C15,556.1519940746397,2,625.5165507781812,2,1218.876443862915
rc204C15,428.2224531922587,3,502.9906455677469,3,2980.264935731888
