,MILP,,,ALNS,,,,ALNS Reference,,
N,T,V,t,T,V,t,r,,,
c101C5,247.15,3,0.13,257.75,2,11.39,0.04,257.75,2,0.03
c103C5,165.67,3,0.05,175.37,1,31.88,0.06,175.37,1,0.05
c206C5,236.58,4,0.34,242.56,1,27.43,0.02,242.56,1,0.07
c208C5,158.48,2,0.59,158.48,1,13.25,0,158.48,1,0.06
r104C5,136.69,2,0.1,167.06,2,9.65,0.18,136.69,2,0.04
r105C5,156.08,2,0.08,168.47,2,12.45,0.07,156.08,2,0.04
r202C5,128.78,1,0.11,128.78,1,13.57,0,128.78,1,0.08
r203C5,179.06,1,0.24,179.06,1,58.86,0,179.06,1,0.1
rc105C5,233.77,3,0.53,241.89,3,16.04,0.03,233.77,2,0.03
rc108C5,253.93,2,1.63,316.51,3,25.33,0.2,253.93,2,0.04
rc204C5,176.39,2,0.53,176.39,1,56.65,0,176.39,1,0.08
rc208C5,167.98,1,0.51,167.98,1,64.14,0,167.98,1,0.07
c101C10,388.25,4,5.26,395.57,3,367.15,0.02,388.25,3,0.1
c104C10,273.93,2,2.92,306.45,2,1690.42,0.11,273.93,2,0.17
c202C10,243.2,2,0.78,301.62,2,1380.79,0.19,304.06,1,0.2
c205C10,228.28,2,0.25,258.66,2,437.75,0.12,228.28,2,0.16
r102C10,249.19,3,1.54,308.82,4,234.73,0.19,249.19,3,0.11
r103C10,202.85,3,15.44,209.47,2,264.76,0.03,206.12,2,0.17
r201C10,217.68,3,1.04,241.51,1,673.93,0.1,241.51,1,0.21
r203C10,218.21,1,2.92,218.21,1,1635.43,0,218.21,1,0.62
rc102C10,423.51,4,1.4,447.1,4,235.38,0.05,423.51,4,0.09
rc108C10,345.93,3,2.08,384.72,3,348.97,0.1,345.93,3,0.09
rc201C10,310.06,4,0.48,412.86,1,590.04,0.25,412.86,1,0.17
rc205C10,325.98,3,0.9,399.97,2,620.77,0.18,325.98,2,0.19
c103C15,348.46,3,451.01,379.16,3,840.4,0.08,348.46,3,0.23
c106C15,275.13,3,2.18,367.41,3,439.52,0.25,275.13,3,0.15
c202C15,369.56,3,32.97,505.59,3,1535.46,0.27,383.62,2,0.29
c208C15,300.55,2,5.04,305.8,2,802.58,0.02,300.55,2,0.26
r102C15,412.78,6,3600.06,480.29,6,154.51,0.14,412.78,5,0.12
r105C15,336.15,6,46.98,347.88,4,132.29,0.03,336.15,4,0.09
r202C15,358,2,794.95,386.86,2,1548.07,0.07,358,2,0.51
r209C15,293.2,2,37.71,344.31,2,1466.09,0.15,313.24,1,0.92
rc103C15,397.67,4,2107.72,486.94,5,167.91,0.18,397.67,4,0.12
rc108C15,370.25,3,3507.98,440.16,4,206.21,0.16,370.25,3,0.15
rc202C15,394.39,2,14.35,556.15,2,1218.88,0.29,394.39,2,0.31
rc204C15,310.58,2,3600.06,428.22,3,2980.26,0.27,382.22,1,1.35
Average ,273.18 ,2.72 ,395.58 ,313.72 ,2.36 ,564.25 ,0.11 ,282.14 ,2.06 ,0.21 
