name,feasibility,p,n
c101C5,1.0,0.01,0.5
c103C5,0.003,0.01,0.5
c206C5,0.627,0.01,0.5
c208C5,1.0,0.01,0.5
r104C5,0.023,0.01,0.5
r105C5,1.0,0.01,0.5
r202C5,0.076,0.01,0.5
r203C5,0.073,0.01,0.5
rc105C5,0.423,0.01,0.5
rc108C5,0.004,0.01,0.5
rc204C5,0.012,0.01,0.5
rc208C5,0.895,0.01,0.5
c101C10,1.0,0.01,0.5
c104C10,0.004,0.01,0.5
c202C10,0.016,0.01,0.5
c205C10,1.0,0.01,0.5
r102C10,0.039,0.01,0.5
r103C10,0.043,0.01,0.5
r201C10,0.02,0.01,0.5
r203C10,0.023,0.01,0.5
rc102C10,0.021,0.01,0.5
rc108C10,0.015,0.01,0.5
rc201C10,1.0,0.01,0.5
rc205C10,0.001,0.01,0.5
c103C15,0.023,0.01,0.5
c106C15,0.02,0.01,0.5
c202C15,0.008,0.01,0.5
c208C15,1.0,0.01,0.5
r102C15,0.004,0.01,0.5
r105C15,1.0,0.01,0.5
r202C15,0.009,0.01,0.5
r209C15,0.008,0.01,0.5
rc103C15,0.004,0.01,0.5
rc108C15,0.171,0.01,0.5
rc202C15,0.044,0.01,0.5
rc204C15,0.001,0.01,0.5
c101_21,0.078,0.01,0.5
c102_21,0.005,0.01,0.5
c103_21,0.006,0.01,0.5
c104_21,0.0,0.01,0.5
c105_21,0.058,0.01,0.5
c106_21,0.002,0.01,0.5
c107_21,1.0,0.01,0.5
c108_21,0.009,0.01,0.5
c109_21,1.0,0.01,0.5
c201_21,1.0,0.01,0.5
c202_21,0.0,0.01,0.5
c203_21,0.0,0.01,0.5
c204_21,0.001,0.01,0.5
c205_21,1.0,0.01,0.5
c206_21,0.0,0.01,0.5
c207_21,0.004,0.01,0.5
c208_21,1.0,0.01,0.5
r101_21,1.0,0.01,0.5
r102_21,0.0,0.01,0.5
r103_21,0.0,0.01,0.5
r104_21,0.0,0.01,0.5
r105_21,1.0,0.01,0.5
r106_21,0.0,0.01,0.5
r107_21,0.0,0.01,0.5
r108_21,0.0,0.01,0.5
r109_21,0.008,0.01,0.5
r110_21,0.0,0.01,0.5
r111_21,0.003,0.01,0.5
r112_21,0.003,0.01,0.5
r201_21,0.0,0.01,0.5
r202_21,0.001,0.01,0.5
r203_21,0.0,0.01,0.5
r204_21,0.005,0.01,0.5
r205_21,1.0,0.01,0.5
r206_21,0.0,0.01,0.5
r207_21,0.001,0.01,0.5
r208_21,0.002,0.01,0.5
r209_21,0.004,0.01,0.5
r210_21,0.0,0.01,0.5
r211_21,0.0,0.01,0.5
rc101_21,1.0,0.01,0.5
rc102_21,0.001,0.01,0.5
rc103_21,0.002,0.01,0.5
rc104_21,0.001,0.01,0.5
rc105_21,0.002,0.01,0.5
rc106_21,1.0,0.01,0.5
rc107_21,0.001,0.01,0.5
rc108_21,0.004,0.01,0.5
rc201_21,1.0,0.01,0.5
rc202_21,0.0,0.01,0.5
rc203_21,0.0,0.01,0.5
rc204_21,0.001,0.01,0.5
rc205_21,0.0,0.01,0.5
rc206_21,1.0,0.01,0.5
rc207_21,0.0,0.01,0.5
rc208_21,0.0,0.01,0.5
