name,distance,vehicle
c101_21,1780.9153635556927,15
c102_21,1547.2456329750712,13
c103_21,1619.9179566562111,14
c104_21,1326.2808198441865,12
c105_21,1684.6653256232971,14
c106_21,1544.7008677108995,13
c107_21,1794.4277655360843,14
c108_21,1764.572010565865,14
c109_21,1628.7543238047467,13
c201_21,1043.6191547977364,5
c202_21,1237.3901124297438,6
c203_21,1308.1597459907728,5
c204_21,1199.248021751267,4
c205_21,1427.1954412653138,6
c206_21,1401.2276654982654,5
c207_21,1569.1664813507218,6
c208_21,1362.5204143107544,6
r101_21,2175.535774233217,22
r102_21,2082.6071595737994,21
r103_21,1827.2836783816854,18
r104_21,1683.599346251721,16
r105_21,1890.5134760732458,18
r106_21,1903.2929885480764,18
r107_21,1482.863994929747,14
r108_21,1712.4376802537884,16
r109_21,1837.5750326362704,17
r110_21,1703.7466146109764,15
r111_21,1682.621188614069,15
r112_21,1648.4947791528573,15
r201_21,1816.7462094434914,4
r202_21,1696.9300660603724,4
r203_21,1414.2348901493165,4
r204_21,1235.6921245010421,3
r205_21,1636.5580920940222,4
r206_21,1637.2703351677274,4
r207_21,1317.2463473535936,3
r208_21,1079.835219364001,3
r209_21,1653.614467866109,4
r210_21,1395.1249544426214,4
r211_21,1313.1750886264429,3
rc101_21,2288.3604289100554,19
rc102_21,2127.4891710044362,18
rc103_21,2195.653989049381,17
rc104_21,1932.379519892273,15
rc105_21,2146.6875161358007,18
rc106_21,2047.7409763965616,17
rc107_21,2142.893845564559,17
rc108_21,2056.3437506828,16
rc201_21,2363.889209191495,5
rc202_21,2179.4109921526633,4
rc203_21,1871.5801609031257,4
rc204_21,1646.7716375472883,4
rc205_21,1991.2949952951951,5
rc206_21,2027.1561677954744,4
rc207_21,1811.7141340167213,4
rc208_21,1552.281491110414,4
